"","year","sector","lifetime_probability"
"280",26,"buil",0.0257
"281",26,"elec",5.58e-07
"282",26,"hous",6.12e-12
"283",26,"comm",6.12e-12
"284",26,"agri",4.51e-09
"285",26,"text",4.91e-09
"286",26,"othe",4.91e-09
"287",27,"tran",0.000351
"288",27,"mach",0.000351
"289",27,"pack",0
"290",27,"heal",0
"291",27,"buil",0.0324
"292",27,"elec",2.49e-07
"293",27,"hous",2.62e-12
"294",27,"comm",2.62e-12
"295",27,"agri",2.74e-09
"296",27,"text",2.22e-09
"297",27,"othe",2.22e-09
"298",28,"tran",0.000197
"299",28,"mach",0.000197
"300",28,"pack",0
"301",28,"heal",0
"302",28,"buil",0.0392
"303",28,"elec",1.12e-07
"304",28,"hous",1.15e-12
"305",28,"comm",1.15e-12
"306",28,"agri",1.68e-09
"307",28,"text",1.02e-09
"308",28,"othe",1.02e-09
"309",29,"tran",0.00011
"310",29,"mach",0.00011
"311",29,"pack",0
"312",29,"heal",0
"313",29,"buil",0.0455
"314",29,"elec",5.08e-08
"315",29,"hous",5.09e-13
"316",29,"comm",5.09e-13
"317",29,"agri",1.04e-09
"318",29,"text",4.72e-10
"319",29,"othe",4.72e-10
"320",30,"tran",6.15e-05
"321",30,"mach",6.15e-05
"322",30,"pack",0
"323",30,"heal",0
"324",30,"buil",0.0509
"325",30,"elec",2.32e-08
"326",30,"hous",2.3e-13
"327",30,"comm",2.3e-13
"328",30,"agri",6.55e-10
"329",30,"text",2.21e-10
"330",30,"othe",2.21e-10
"331",31,"tran",3.42e-05
"332",31,"mach",3.42e-05
"333",31,"pack",0
"334",31,"heal",0
"335",31,"buil",0.0552
"336",31,"elec",1.06e-08
"337",31,"hous",1.05e-13
"338",31,"comm",1.05e-13
"339",31,"agri",4.15e-10
"340",31,"text",1.05e-10
"341",31,"othe",1.05e-10
"342",32,"tran",1.9e-05
"343",32,"mach",1.9e-05
"344",32,"pack",0
"345",32,"heal",0
"346",32,"buil",0.0582
"347",32,"elec",4.93e-09
"348",32,"hous",4.9e-14
"349",32,"comm",4.9e-14
"350",32,"agri",2.66e-10
"351",32,"text",5.06e-11
"352",32,"othe",5.06e-11
"353",33,"tran",1.05e-05
"354",33,"mach",1.05e-05
"355",33,"pack",0
"356",33,"heal",0
"357",33,"buil",0.0596
"358",33,"elec",2.3e-09
"359",33,"hous",2.3e-14
"360",33,"comm",2.3e-14
"361",33,"agri",1.72e-10
"362",33,"text",2.46e-11
"363",33,"othe",2.46e-11
"364",34,"tran",5.84e-06
"365",34,"mach",5.84e-06
"366",34,"pack",0
"367",34,"heal",0
"368",34,"buil",0.0596
"369",34,"elec",1.08e-09
"370",34,"hous",1.09e-14
"371",34,"comm",1.09e-14
"372",34,"agri",1.12e-10
"373",34,"text",1.21e-11
"374",34,"othe",1.21e-11
"375",35,"tran",3.24e-06
"376",35,"mach",3.24e-06
"377",35,"pack",0
"378",35,"heal",0
"379",35,"buil",0.0583
"380",35,"elec",5.13e-10
"381",35,"hous",5.77e-15
"382",35,"comm",5.77e-15
"383",35,"agri",7.4e-11
"384",35,"text",6.02e-12
"385",35,"othe",6.02e-12
"386",36,"tran",1.8e-06
"387",36,"mach",1.8e-06
"388",36,"pack",0
"389",36,"heal",0
"390",36,"buil",0.0559
"391",36,"elec",2.45e-10
"392",36,"hous",2.22e-15
"393",36,"comm",2.22e-15
"394",36,"agri",4.92e-11
"395",36,"text",3.02e-12
"396",36,"othe",3.02e-12
"397",37,"tran",1e-06
"398",37,"mach",1e-06
"399",37,"pack",0
"400",37,"heal",0
"401",37,"buil",0.0526
"402",37,"elec",1.18e-10
"403",37,"hous",1.55e-15
"404",37,"comm",1.55e-15
"405",37,"agri",3.29e-11
"406",37,"text",1.53e-12
"407",37,"othe",1.53e-12
"408",38,"tran",5.57e-07
"409",38,"mach",5.57e-07
"410",38,"pack",0
"411",38,"heal",0
"412",38,"buil",0.0486
"413",38,"elec",5.72e-11
"414",38,"hous",1.33e-15
"415",38,"comm",1.33e-15
"416",38,"agri",2.22e-11
"417",38,"text",7.85e-13
"418",38,"othe",7.85e-13
"419",39,"tran",3.11e-07
"420",39,"mach",3.11e-07
"421",39,"pack",0
"422",39,"heal",0
"423",39,"buil",0.0442
"424",39,"elec",2.79e-11
"425",39,"hous",2.22e-16
"426",39,"comm",2.22e-16
"427",39,"agri",1.51e-11
"428",39,"text",4.06e-13
"429",39,"othe",4.06e-13
"430",40,"tran",1.74e-07
"431",40,"mach",1.74e-07
"432",40,"pack",0
"433",40,"heal",0
"434",40,"buil",0.0396
"435",40,"elec",1.38e-11
"436",40,"hous",0
"437",40,"comm",0
"438",40,"agri",1.03e-11
"439",40,"text",2.13e-13
"440",40,"othe",2.13e-13
"441",41,"tran",9.73e-08
"442",41,"mach",9.73e-08
"443",41,"pack",0
"444",41,"heal",0
"445",41,"buil",0.0351
"446",41,"elec",6.82e-12
"447",41,"hous",0
"448",41,"comm",0
"449",41,"agri",7.09e-12
"450",41,"text",1.12e-13
"451",41,"othe",1.12e-13
"452",42,"tran",5.47e-08
"453",42,"mach",5.47e-08
"454",42,"pack",0
"455",42,"heal",0
"456",42,"buil",0.0307
"457",42,"elec",3.41e-12
"458",42,"hous",0
"459",42,"comm",0
"460",42,"agri",4.91e-12
"461",42,"text",5.87e-14
"462",42,"othe",5.87e-14
"463",43,"tran",3.08e-08
"464",43,"mach",3.08e-08
"465",43,"pack",0
"466",43,"heal",0
"467",43,"buil",0.0265
"468",43,"elec",1.71e-12
"469",43,"hous",0
"470",43,"comm",0
"471",43,"agri",3.42e-12
"472",43,"text",3.2e-14
"473",43,"othe",3.2e-14
"474",44,"tran",1.74e-08
"475",44,"mach",1.74e-08
"476",44,"pack",0
"477",44,"heal",0
"478",44,"buil",0.0226
"479",44,"elec",8.67e-13
"480",44,"hous",0
"481",44,"comm",0
"482",44,"agri",2.4e-12
"483",44,"text",1.71e-14
"484",44,"othe",1.71e-14
"485",45,"tran",9.85e-09
"486",45,"mach",9.85e-09
"487",45,"pack",0
"488",45,"heal",0
"489",45,"buil",0.0192
"490",45,"elec",4.43e-13
"491",45,"hous",0
"492",45,"comm",0
"493",45,"agri",1.69e-12
"494",45,"text",9.55e-15
"495",45,"othe",9.55e-15
"496",46,"tran",5.6e-09
"497",46,"mach",5.6e-09
"498",46,"pack",0
"499",46,"heal",0
"500",46,"buil",0.0161
"501",46,"elec",2.26e-13
"502",46,"hous",0
"503",46,"comm",0
"504",46,"agri",1.2e-12
"505",46,"text",5.11e-15
"506",46,"othe",5.11e-15
"507",47,"tran",3.19e-09
"508",47,"mach",3.19e-09
"509",47,"pack",0
"510",47,"heal",0
"511",47,"buil",0.0134
"512",47,"elec",1.17e-13
"513",47,"hous",0
"514",47,"comm",0
"515",47,"agri",8.56e-13
"516",47,"text",3.33e-15
"517",47,"othe",3.33e-15
"518",48,"tran",1.82e-09
"519",48,"mach",1.82e-09
"520",48,"pack",0
"521",48,"heal",0
"522",48,"buil",0.011
"523",48,"elec",6.07e-14
"524",48,"hous",0
"525",48,"comm",0
"526",48,"agri",6.15e-13
"527",48,"text",8.88e-16
"528",48,"othe",8.88e-16
"529",49,"tran",1.05e-09
"530",49,"mach",1.05e-09
"531",49,"pack",0
"532",49,"heal",0
"533",49,"buil",0.00905
"534",49,"elec",3.2e-14
"535",49,"hous",0
"536",49,"comm",0
"537",49,"agri",4.41e-13
"538",49,"text",1.11e-15
"539",49,"othe",1.11e-15
"540",50,"tran",6.02e-10
"541",50,"mach",6.02e-10
"542",50,"pack",0
"543",50,"heal",0
"544",50,"buil",0.00737
"545",50,"elec",1.67e-14
"546",50,"hous",0
"547",50,"comm",0
"548",50,"agri",3.2e-13
"549",50,"text",4.44e-16
"550",50,"othe",4.44e-16
"551",51,"tran",3.48e-10
"552",51,"mach",3.48e-10
"553",51,"pack",0
"554",51,"heal",0
"555",51,"buil",0.00597
"556",51,"elec",9.44e-15
"557",51,"hous",0
"558",51,"comm",0
"559",51,"agri",2.32e-13
"560",51,"text",8.88e-16
"561",51,"othe",8.88e-16
"562",52,"tran",2.01e-10
"563",52,"mach",2.01e-10
"564",52,"pack",0
"565",52,"heal",0
"566",52,"buil",0.0048
"567",52,"elec",4.77e-15
"568",52,"hous",0
"569",52,"comm",0
"570",52,"agri",1.7e-13
"571",52,"text",0
"572",52,"othe",0
"573",53,"tran",1.17e-10
"574",53,"mach",1.17e-10
"575",53,"pack",0
"576",53,"heal",0
"577",53,"buil",0.00384
"578",53,"elec",2.33e-15
"579",53,"hous",0
"580",53,"comm",0
"581",53,"agri",1.25e-13
"582",53,"text",0
"583",53,"othe",0
"584",54,"tran",6.82e-11
"585",54,"mach",6.82e-11
"586",54,"pack",0
"587",54,"heal",0
"588",54,"buil",0.00306
"589",54,"elec",1.11e-15
"590",54,"hous",0
"591",54,"comm",0
"592",54,"agri",9.16e-14
"593",54,"text",0
"594",54,"othe",0
"595",55,"tran",3.99e-11
"596",55,"mach",3.99e-11
"597",55,"pack",0
"598",55,"heal",0
"599",55,"buil",0.00242
"600",55,"elec",8.88e-16
"601",55,"hous",0
"602",55,"comm",0
"603",55,"agri",6.83e-14
"604",55,"text",0
"605",55,"othe",0
"606",56,"tran",2.34e-11
"607",56,"mach",2.34e-11
"608",56,"pack",0
"609",56,"heal",0
"610",56,"buil",0.00191
"611",56,"elec",1.11e-15
"612",56,"hous",0
"613",56,"comm",0
"614",56,"agri",5.06e-14
"615",56,"text",0
"616",56,"othe",0
"617",57,"tran",1.38e-11
"618",57,"mach",1.38e-11
"619",57,"pack",0
"620",57,"heal",0
"621",57,"buil",0.0015
"622",57,"elec",0
"623",57,"hous",0
"624",57,"comm",0
"625",57,"agri",3.71e-14
"626",57,"text",0
"627",57,"othe",0
"628",58,"tran",8.15e-12
"629",58,"mach",8.15e-12
"630",58,"pack",0
"631",58,"heal",0
"632",58,"buil",0.00118
"633",58,"elec",0
"634",58,"hous",0
"635",58,"comm",0
"636",58,"agri",2.82e-14
"637",58,"text",0
"638",58,"othe",0
"639",59,"tran",4.83e-12
"640",59,"mach",4.83e-12
"641",59,"pack",0
"642",59,"heal",0
"643",59,"buil",0.000919
"644",59,"elec",0
"645",59,"hous",0
"646",59,"comm",0
"647",59,"agri",2.14e-14
"648",59,"text",0
